Brand: ,Model: ,Model year: ,Condition: ,Transmission: ,Fuel type: ,Engine capacity: ,Mileage: 
Mazda,Flair,2017,Used,Automatic,Petrol,650 cc,"50,000 km"
Mahindra,JETTO S6-16,2015,Used,,,,"52,000 km"
Mitsubishi,Canter,2015,Used,,,,"126,000 km"
Tata,Batta,2012,Used,,,,"118,000 km"
Mahindra,Maxximo plus,2018,Used,,,,"50,000 km"
,,,,,,,
Dimo Batta,Dimo Batta,2007,Used,,,,"51,000 km"
Mitsubishi,Canter 150,2002,Used,,,,"200,000 km"
Tata,Dimo batta,2015,Used,,,,"38,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ashok Leyland,Tipper,2012,Used,,,,"160,000 km"
Toyota,KDH GL 201 White GL,2010,Used,,,,"180,000 km"
Mahindra,Maximo,2013,Used,,,,"90,000 km"
Toyota,Townace Credit 27,1990,Used,,,,"35,000 km"
,,,,,,,
,,,,,,,
Nissan,Vanette,2007,Used,,,,"249,000 km"
,,,,,,,
Toyota,kDH 200,2004,Used,,,,"128,000 km"
Toyota,Coaster,2012,Used,,,,"185,000 km"
Daihatsu,Hijet  Freezer Auto,2007,Used,,,,"130,000 km"
Mitsubishi,Rosa,2013,Reconditioned,,,,"200,000 km"
,,,,,,,
Isuzu,NPR 58L,1989,Used,,,,"258,000 km"
,,,,,,,
Mazda,BONGO,1999,Used,,,,"180,000 km"
Tata,Dimo Looka,2014,Used,,,,"53,000 km"
Suzuki,Every JOIN,2017,Used,,,,"14,000 km"
Toyota,Hiace,2003,Used,,,,"110,000 km"
Mitsubishi,canter,2010,Reconditioned,,,,"350,000 km"
,,,,,,,
,,,,,,,
Isuzu,14.5 Feet lorry,2018,Used,,,,"3,200 km"
,,,,,,,
Isuzu,ELF,1993,Used,,,,"220,000 km"
Nissan,BINGO VANETTE,1994,Reconditioned,,,,"214,000 km"
Suzuki,-20 freezar ,2011,Used,,,,"157,000 km"
Tata,LPT 709 EX2,2010,Used,,,,"96,232 km"
Suzuki,Every Join ,2018,New,,,,"12,000 km"
Nissan,Vanette,1984,Used,,,,"250,000 km"
Toyota,Hiace Super GL KDH,2015,Used,,,,"45,000 km"
Toyota,Hiace SUPER GL 201,2015,New,,,,"60,000 km"
Ashok Leyland,1613 Cargo,2011,Reconditioned,,,,"90,000 km"
Nissan,Caravan VX,1999,Reconditioned,,,,"150,000 km"
,,,,,,,
,,,,,,,
Isuzu,Freezer 14 1/2,2008,Used,,,,"180,000 km"
Tata,XENON,2014,Used,,,,"41,000 km"
Isuzu,Tipper Dump Truck,2006,Used,,,,"105,000 km"
Isuzu,Freezer Feet 16.5,2013,Reconditioned,,,,"95,000 km"
Suzuki,Carry,2002,Used,,,,"141,786 km"
,,,,,,,
,,,,,,,
Toyota,KDH 200 GL,2006,Used,,,,"17,000 km"
,,,,,,,
Suzuki,Every,2015,Used,,,,"78,251 km"
Toyota,Coaster,2007,Reconditioned,,,,"100,000 km"
Mahindra,bolero,2016,Used,,,,"160,000 km"
Toyota,Townace Van,2015,Used,,,,"194,000 km"
Suzuki,Motor Lorry,1999,Used,,,,"78,000 km"
,,,,,,,
,,,,,,,
Toyota,Premio,2015,Used,Automatic,Petrol,"1,500 cc","36,000 km"
Isuzu,ELF FREEZER TRUCK,2013,Reconditioned,,,,"211,000 km"
Hino,PROFIA 7cube Tippr,2007,Used,,,,"140,000 km"
Toyota,KDH GDH 223B Diesel,2018,Used,,,,"48,435 km"
Mazda,Familia,1992,Used,Manual,Petrol,"1,500 cc","100,000 km"
Suzuki,S-Cross,2019,Used,Automatic,Petrol,"1,000 cc","13,000 km"
,,,,,,,
Nissan,Sunny,2003,Reconditioned,Manual,Petrol,"1,500 cc","87,452 km"
Suzuki,Celerio,2015,Used,Tiptronic,Petrol,"1,000 cc","61,000 km"
,,,,,,,
Toyota,Land Cruiser Prado,2015,Used,Automatic,Petrol,"2,700 cc","55,000 km"
Toyota,Axio,2018,Used,Automatic,Hybrid,"1,490 cc","5,850 km"
,,,,,,,
